step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,incavessel,0.5035305092891662,0.5459369145911801,1.08,,What is an Urpu?,"Urpu refers to a ceramic vessel commonly produced in the Inca Empire. The Inca hail from the highlands of Peru. They underwent a period of conquest and rapid expansion from roughly 1430 CE to 1530 CE. At the Empire’s largest extent, its territory stretched from Santiago in the South to Ecuador in the North. Urpu jars were used ceremonially, holding maize beer called Chicha during feasts and ritual events.
",,Dive Deeper,blank_template-continued.md,,,,,
2,potatourpu,0.5132670464940389,0.5005613490862673,1.296,,What was the production process of this Urpu?,"The main body of an Incan Urpu was generally coil built, with the body and mouth constructed separately and then slipped and scored to be attached later in the production process. The vessel would likely have been produced through an assembly line process. Urpus were likely formed along the north coast in the Leche Valley through the use of press molds. Urpus were finished with burnishing techniques to create a shiny, polished exterior, and were slipped and painted using ground mica and other minerals as pigments. Fired at temperatures between 900°-1,000° Fahrenheit in insulated bonfires or simple kilns rather than open firing it allowed for more homogeneously at higher temperatures.
",,Image here,blank_template-parts-of-an.md,,,,,
3,potatourpu,0.49915063400694554,0.38341803344131525,1.86624,,What does the production process show about Incan power?,"Firing techniques changed following the imperial incursion. Based on the vessel being a Chimú-Inca hybrid, it serves as material evidence of the cultural syncretism that followed Inca conquest on the local craftspeople making imperial forms in their own idiom. Because the vessel combines Chimú and Inca elements, it provides evidence of cultural syncretism in which local craftspeople adapted to imperial demands while maintaining their own artistic traditions. The high level of skill seen reflects the importance the empire placed on specialized labor and organized production. 
",,Learn more,blank_template-incan-relations.md,Go deeper,blank_template-syncretism.md,,,
4,incavesseltopview,0.5127788274741144,0.4791645346182119,1.296,,How was this Urpu used?," Chicha was the liquid medium of Inca political power, ritual feasting, and state sacrifice. Urpus traveled with Inca officials to sacred sites where they were used in capac hucha sacrifices, offerings, and diplomatic rituals designed to bind local elites to the imperial order. They were used by placing them in holes into the grounding, allowing the urpu to be held up and used for its intended purpose. Many times during these sacrificial rituals, the urpu poured chicha onto the bodies of the almost sacrificed. The chicha would stick and stay on the body while being sacrificed.",,Dive deeper,blank_template-inside-the-potato.md,,,,,
5,incavesselzoom,0.4628864177046609,0.4702527781012226,1.5727557076205292,,What does this reveal about Incan culture?,"If the oval reliefs are potatoes, the vessel also embodies Andean cyclical cosmology since it shows the process of clay from earth then fired by earth-products then shaped as a food of the earth, with the purpose of holding a drink made from the earth's maize. Potatoes and other tubers are an incredibly important Andean carbohydrate that grows in higher altitudes. The Incas stored potatoes in warehouses for long periods of time making them a source of food security. 
",,Learn more,blank_template-andean-cosmology.md,Go deeper,blank_template-potatoes.md,,,
6,incavessel,0.5262726762034116,0.5086456580551864,1.08,,About,"ARTHI 130D: Art and Archaeology of the Ancient Andes. Moises Guerrero Gallegos, Megan Leverett, Tania Mancilla, James Peabody, Sophia Wilson. 

This project dealt with a Chimu Inca Urpu from the Art, Design, and Architecture Collection at UC Santa Barbara. The group of five students began this project by using their previous knowledge of pottery to suspect what the possible production and use of this vessel would be. This initial step, each group member embarked on doing research about anything that deals with Incan pottery, Chimu-Incan history, Incan mythology, and the flora and fauna of the area that is supposedly found in. This location was, according to the AD&A website, later certified by a scholarly article. This all culminated in a Telar website to present the findings of the group and what they believe are the important points to be known about this object and project. 
",,Image Citations,blank_template-image-citations.md,Bibliography,blank_template-works-cited.md,,,
