order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,blank_template,Incan Potato Urpu,ARTHI 130D,"By Megan Leverett, James Peabody, Moises Guerrero Gallegos, Sophia Wilson, & Tania Mancilla",,
